symbol,market,type,currency,name_en,name_cn,aliases
A7A5-USD,crypto,crypto,USD,A7A5,,a7a5
CAKE-USD,crypto,crypto,USD,PancakeSwap,,pancakeswap-token
EURC-USD,crypto,crypto,USD,EURC,,euro-coin
HASH-USD,crypto,crypto,USD,Provenance Blockchain,,hash-2
UB-USD,crypto,crypto,USD,Unibase,,unibase
VET-USD,crypto,crypto,USD,VeChain,,vechain
DASH-USD,crypto,crypto,USD,Dash,,dash
ETHFI-USD,crypto,crypto,USD,Ether.fi,,ether-fi
PENGU-USD,crypto,crypto,USD,Pudgy Penguins,,pudgy-penguins
AERO-USD,crypto,crypto,USD,Aerodrome Finance,,aerodrome-finance
OUSG-USD,crypto,crypto,USD,Ondo Short-Term U.S. Government Bond Fund,,ousg
VIRTUAL-USD,crypto,crypto,USD,Virtuals Protocol,,virtual-protocol
TRUMP-USD,crypto,crypto,USD,Official Trump,,official-trump
USDTB-USD,crypto,crypto,USD,USDtb,,usdtb
FDUSD-USD,crypto,crypto,USD,First Digital USD,,first-digital-usd
SUN-USD,crypto,crypto,USD,Sun Token,,sun-token
ANTFUN-USD,crypto,crypto,USD,AntFun,,antfun
NIGHT-USD,crypto,crypto,USD,Midnight,,midnight-3
FET-USD,crypto,crypto,USD,Artificial Superintelligence Alliance,,fetch-ai
CRV-USD,crypto,crypto,USD,Curve DAO,,curve-dao-token
TIA-USD,crypto,crypto,USD,Celestia,,celestia
PYTH-USD,crypto,crypto,USD,Pyth Network,,pyth-network
